Date,Air Temperature (°C) Max,Air Temperature (°C) Min,Air Temperature (°C) Mean,Soil Temperature (5 Cm Depth (°C)) Morning,Soil Temperature (5 Cm Depth (°C)) evening,Soil Temperature (5 Cm Depth (°C)) Mean,Soil Temperature (10 Cm Depth (°C)) Morning,Soil Temperature (10 Cm Depth (°C)) evening,Soil Temperature (10 Cm Depth (°C)) Mean,Soil Temperature (30 Cm Depth (°C)) Morning,Soil Temperature (30 Cm Depth (°C)) evening,Soil Temperature (30 Cm Depth (°C)) Mean,Relative Humidity (%) Morning,Relative Humidity (%) evening,Relative Humidity (%) Mean,Vapour Pressure (hPa) Morning,Vapour Pressure (hPa) evening,Vapour Pressure (hPa) Mean,wind speed,Wind Direction (M),Wind Direction (E),Sunshine Hours (hrs),Rainfall (mm),Evaporation (mm),Weather Code (M),Weather Code (E),
10/02/2024,21.5,6.0,13.8,7.0,20.0,13.5,8.0,17.6,12.8,11.0,14.0,12.5,94,44,69,6.8,8.0,7.4,1.2,C,NW,8.4,0.0,2.0,0,0,
11/02/2024,22.0,6.0,14.0,8.5,21.5,15.0,9.0,18.5,13.8,12.0,15.2,13.6,97,41,69,7.1,8.0,7.5,2.2,C,NW,9.2,0.0,1.6,0,0,Fog
12/02/2024,22.0,6.4,14.2,8.4,20.6,14.5,9.0,18.0,13.5,12.0,15.0,13.5,97,51,74,7.3,9.6,8.5,1.2,C,NW,2.5,0.0,1.2,1,1,Fog
13/02/2024,23.8,9.2,16.5,10.6,22.0,16.3,11.0,220.0,115.5,13.4,16.0,14.7,95,37,66,8.6,7.5,8.1,1.4,C,NW,6.9,0.0,1.6,1,1,Fog
14/02/2024,23.4,8.4,15.9,10.0,23.0,16.5,10.6,20.0,15.3,13.0,16.4,14.7,94,41,68,8.1,8.5,8.3,3.0,C,NW,9.2,0.0,2.0,0,0,Fog
15/02/2024,23.6,7.0,15.3,9.5,23.6,16.6,10.0,19.0,14.5,12.5,17.0,14.8,94,36,65,7.4,7.7,7.6,2.0,C,NW,9.5,0.0,2.0,0,0,Fog
16/02/2024,23.8,5.6,14.7,9.5,24.5,17.0,10.5,20.0,15.3,13.0,17.4,15.2,91,35,63,6.6,7.4,7.0,2.2,C,NW,10.5,0.0,2.0,1,0,
17/02/2024,23.2,8.4,15.8,10.0,25.0,17.5,11.0,20.0,15.5,13.5,17,15.3,92,45,69,7.9,9.4,8.7,2.5,C,NW,7.7,0.0,2.0,0,0,Fog
18/02/2024,23.2,9.2,16.2,11.0,21.0,16.0,12.0,17.8,14.9,13.5,16.4,15.0,92,59,76,9.1,11.5,10.3,9.8,C,SE,0.3,0.0,2.4,1,2,
19/02/2024,25.0,16.6,20.8,14.0,24.5,19.3,15.0,20.5,17.8,16.0,19.0,17.5,56,40,48,8.4,8.9,8.7,15.2,SE,SE,5.3,0.0,4.0,1,1,
20/02/2024,24.4,15.8,20.1,15.2,26.0,20.6,16.0,21.5,18.8,17.0,20.0,18.5,79,55,67,10.8,12.1,11.5,6.4,SE,SE,7.3,0.0,3.6,1,1,Fog
21/02/2024,21.8,9.4,15.6,13.5,27.0,20.3,15.0,22.0,18.5,17.0,20.0,18.5,95,42,69,8.6,8.2,8.4,3.2,C,NW,9.4,0.0,4.0,0,0,
22/02/2024,22.8,7.8,15.3,10.4,26.5,18.5,12.0,21.5,16.8,15.0,19.0,17.0,94,23,59,8.1,4.5,6.3,3.8,C,NW,10.2,0.0,3.4,0,0,
23/02/2024,22.0,6.8,14.4,9.4,26.0,17.7,11.0,21.0,16.0,14.0,18.5,16.3,86,27,57,6.9,5.1,6.0,4.3,C,NW,10.6,0.0,3.0,0,0,
24/02/2024,21.4,6.8,14.1,10.0,26.0,18.0,12.0,21.0,16.5,14.0,18.5,16.3,86,38,62,6.9,6.8,6.9,2.2,C,NW,10.0,0.0,3.0,0,0,
25/02/2024,21.6,6.8,14.2,10.0,26.0,18.0,12.0,21.0,16.5,14.5,18.8,16.7,86,22,54,7.2,4.2,5.7,2.2,C,NW,10.1,0.0,3.0,0,1,
26/02/2024,23.6,7.4,15.5,10.5,28.0,19.3,12.0,22.0,17.0,14.5,19.5,17.0,86,28,57,7.4,5.9,6.7,4.4,C,NW,8.3,0.0,3.2,1,1,
27/02/2024,21.8,12.6,17.2,14.5,24.0,19.3,15.5,20.0,17.8,17.0,18.0,17.5,70,46,58,7.9,8.3,8.1,3.5,C,NW,2.1,0.0,3.0,1,1,
28/02/2024,22.6,8.6,16.8,11.0,26.5,18.8,13.0,21.5,17.3,15.5,19.0,17.3,89,43,66,7.8,8.5,8.2,4.4,C,NW,10.4,0.0,2.6,0,0,
29/02/2024,25.0,8.6,,11.5,28.0,19.8,12.5,22.5,17.5,15.5,20.0,17.8,90,41,66,8.6,9.5,9.1,3.5,C,NW,9.4,0.0,2.5,0,0,
,,8.4,14.8,10.2,22.5,16.4,11.2,25.9,18.6,22.2,20.4,15.0,89,46,68,7.9,8.1,8.0,3.8,,,7.2,20.0,66.5,,,
